title,artist,song_key,reason
Como En El Cielo (Here As In Heaven),Elevation Worship,D,missing_chords
,,,"missing_title,missing_artist,missing_chords"
Only King Forever,Elevation Worship,C,missing_chords
Our King Has Come,Elevation Worship,F,missing_chords
Wont Stop Now,Elevation Worship,G,missing_chords
Wont Stop Now,Elevation Worship,,missing_chords
Do Ya,Electric Light Orchestra,D,missing_chords
All Hail the Power of Jesus Name,Edward Perronet,E,missing_chords
Infant Holy Infant Lowly,Edith Reed,G,missing_chords
Show Me The Way Back To Your,Eddy Arnold,C,missing_chords
Forgive And Forget,Eddie Rabbitt,C,missing_chords
Lay Your Weapons Down,Eddie Kirkland,Db,missing_chords
You Are Jehovah,Eddie James,Db,missing_chords
All Creation Worship You,Eddie Expinosa,C,missing_chords
Cmon Everybody,Eddie Cochran,E,missing_chords
After The Thrill Is Gone,Eagles,G,missing_chords
Fast Company,Eagles,Bm,missing_chords
Singing Joy To The World,Fruit Bats,G,missing_chords
CMFI Worship,Fresh Annointing,D,missing_chords
Bad Reputation,Freedy Johnston,Em,missing_chords
"Oh, How I Love Jesus",Frederick Whitfield,D,missing_chords
Theres a Wideness in Gods Mercy [to the tune of,"Frederick W. Faber, adapted by Darrell Tienou-Gust",C,missing_chords
God Is Here! As We His People,"Fred Pratt Green, b. 1903",G,missing_chords
Blessings & Honor,Fred Hammond & RFC,E,missing_chords
Be Born In Me,Francesca Battistelli,A,missing_chords
Be Born In Me,Francesca Battistelli,D,missing_chords
Christmas Is,Francesca Battistelli,A,missing_chords
Holy Spirit,Francesca Battistelli,D,missing_chords
Keeping Score,Francesca Battistelli,B,missing_chords
"Pass Me Not, O Gentle Savior",Frances J Crosby,G,missing_chords
Crave,For King & Country,A,missing_chords
Missing,For King & Country,Bbm,missing_chords
Sane,For King & Country,C,missing_chords
Break Your Knees,Flyleaf,Am,missing_chords
Enemy,Flyleaf,Dm,missing_chords
Fire Fire,Flyleaf,A,missing_chords
Freedom,Flyleaf,Em,missing_chords
Home,Flyleaf,G,missing_chords
Im So Sick,Flyleaf,G,missing_chords
In The Dark,Flyleaf,Em,missing_chords
Justice And Mercy,Flyleaf,C,missing_chords
Mama,Flyleaf,C,missing_chords
Sober Serenade,Flyleaf,Bm,missing_chords
Stay Faraway So Close,Flyleaf,G,missing_chords
Treasure,Flyleaf,Em,missing_chords
Banner Year,Five Iron Frenzy,D,missing_chords
Dark Days,FireWater,A,missing_chords
I Am,Finding Favour,D,missing_chords
I Am,Finding Favour,B,missing_chords
Astronaut,FFH,D,missing_chords
Because Of Who You Are,FFH,G,missing_chords
Because Of Who You Are,FFH,G,missing_chords
Because Of Who You Are,FFH,G,missing_chords
Im Alright,FFH,D,missing_chords
Its Been A Long Time,FFH,G,missing_chords
Its Still The Cross,FFH,C,missing_chords
Where You Are,FFH,A,missing_chords
Angel Fire,Fernando Ortega,F#m,missing_chords
Camino Largo,Fernando Ortega,G,missing_chords
Come Ye Sinners Poor And Needy,Fernando Ortega,F#m,missing_chords
Flama De Ángel,Fernando Ortega,Gm,missing_chords
How Deep The Fathers Love For Us,Fernando Ortega,E,missing_chords
Jehová Señor De Los Cielos,Fernando Ortega,C,missing_chords
Let All Mortal Flesh Keep Silence,Fernando Ortega,Dm,missing_chords
My Song Is Love Unknown,Fernando Ortega,F,missing_chords
Señor De La Eternidad,Fernando Ortega,B,missing_chords
When All Thy Mercies,Fernando Ortega,G,missing_chords
Redención,Fernanda Brum,Am,missing_chords
Hark the Herald Angles Sing,Felix Mendelssohn,F,missing_chords
All the Way My Savior Leads Me,Fanny Crosby,G,missing_chords
Church Bells,Gungor,C,missing_chords
Everything Changes,Gungor,E,missing_chords
Higher,Gungor,A,missing_chords
Preacher Tell Me Like It Is,Greater Vision,A,missing_chords
Pain,Grammatrain,C,missing_chords
All Heaven Waits,Graham Kendrick,Dm,missing_chords
How Much Do You Think Youre Worth,Graham Kendrick,G,missing_chords
Let The Flame Burn Brighter,Graham Kendrick,G,missing_chords
O Lord Your Tenderness,Graham Kendrick,D,missing_chords
Such Love,Graham Kendrick,A,missing_chords
We Are Here To Praise You,Graham Kendrick,D,missing_chords
We Are Here To Praise You,Graham Kendrick,A,missing_chords
Be Thou my Vision,Grace PCA,D,missing_chords
Because I Have Been Given Much,Grace Noll Crowell,G,missing_chords
"Daily, daily sing to Mary",Gospel Songs,F,missing_chords
How great Thou art,Gospel Songs,A,missing_chords
Humble thyself & Our God is an awesome God,Gospel Songs,Em,missing_chords
I have decided to follow Jesus,Gospel Songs,C,missing_chords
I will sing of the mercies of the Lord forever,Gospel Songs,D,missing_chords
Lord Accept this bread and wine,Gospel Songs,Dm,missing_chords
Lord Make me like You,Gospel Songs,C,missing_chords
Sing alleluia to the lord,Gospel Songs,Am,missing_chords
Sing Hosanna in the highest (Malaika Style),Gospel Songs,D,missing_chords
The Lourdes Hymn (Immaculate Mary),Gospel Songs,C,missing_chords
The Savior is waiting,Gospel Songs,D,missing_chords
Accept Almighty Father,Gospel Music,F,missing_chords
"All for You Lord, all for You",Gospel Music,E,missing_chords
Brethren We Have Met To Worship,Gospel Music,G,missing_chords
Father take the gifts we bring,Gospel Music,D,missing_chords
Living waters flow on,Gospel Music,G,missing_chords
Come To The Water,Gospel,C,missing_chords
Prepare Ye The Way Of The Lord,Godspell,G,missing_chords
A Little Piece Of Heaven,Godley And Creme,A,missing_chords
God So Loved Yeah Yeah Yea,Godfrey Birtill,G,missing_chords
Never Can Replay,Glenn Kaiser,E,missing_chords
Trial,Giftson Immanuel,C,missing_chords
We Sing Worthy,Geron Davis,D,missing_chords
2.- The Old Rugged Cross,George Bennard,A,missing_chords
The Power Of Your Love,Geoff Bullock,G,missing_chords
Gente Per Bene Gente Per Male,Gene Eugene,E,missing_chords
Radioactive,Gene Eugene,A,missing_chords
The Birds And The Bees,Gene Eugene,C,missing_chords
Those Old Black And White Movies Were True,Gene Eugene,B,missing_chords
High Score,Gene Eugene,G,missing_chords
A Way To Survive,Gene Eugene,C,missing_chords
Aint No Fun To Be Alone In San Antone,Gene Eugene,D,missing_chords
Be Honest With Me,Gene Eugene,G,missing_chords
Born To Lose,Gene Eugene,Eb,missing_chords
Bye And Bye,Gene Eugene,D,missing_chords
Cara Mia Mine,Gene Eugene,C,missing_chords
Carry Me Back To The Lone Prairie,Gene Eugene,C,missing_chords
Dont It Make You Want To Go Home,Gene Eugene,C,missing_chords
Dont Look At Me In That Tone Of Voice,Gene Eugene,G,missing_chords
For The Dead,Gene Eugene,E,missing_chords
Get Rosetta On The Phone,Gene Eugene,G,missing_chords
I Must Be A Tree,Gene Eugene,E,missing_chords
Im Gonna Listen To Me,Gene Eugene,G,missing_chords
Just Bidin My Time,Gene Eugene,D,missing_chords
Long Time,Gene Eugene,D,missing_chords
Marianne,Gene Eugene,D,missing_chords
Mary Sue,Gene Eugene,A,missing_chords
She Dont Care About Time,Gene Eugene,G,missing_chords
Silent Crusade,Gene Eugene,G,missing_chords
Take A City Bride,Gene Eugene,E,missing_chords
The True One,Gene Eugene,A,missing_chords
When We Were One,Gene Eugene,Am,missing_chords
Day And Night,Garry Mulgrew,C,missing_chords
Our Father In Heaven,Garry Mulgrew,G,missing_chords
A Rose Among The Thorns,Gaithers,G,missing_chords
Glorious Impossible,Gaither Vocal Band,D,missing_chords
Greatly Blessed Highly Favoured,Gaither Vocal Band,A,missing_chords
Ill Worship Only At The Feet,Gaither Vocal Band,A,missing_chords
Keep On The Firing Line,Gaither Vocal Band,C,missing_chords
Knowing Youll Be There,Gaither Vocal Band,E,missing_chords
"Loving God, Loving Each Other",Gaither Vocal Band,C,missing_chords
Sitting At The Feet Of Jesus,Gaither Vocal Band,A,missing_chords
What A Lovely Name,Gaither,D,missing_chords
Faith Is The Victory,Hymns,D,missing_chords
I Have Decided To Follow Jesus,Hymnal,Bb,missing_chords
A Wonderful Savior Is Jesus My Lord,hymn,C,missing_chords
Abba Father,hymn,A,missing_chords
Abide With Me,hymn,C,missing_chords
All Glory Laud and Honor,hymn,G,missing_chords
All Praise to God Who Reigns Above,hymn,D,missing_chords
All The Earth Shall Worship You,hymn,D,missing_chords
All to Jesus I surrender,hymn,C,missing_chords
And Can It Be,hymn,G,missing_chords
As the Deer Pants for the Water (SJEH Arrangment),Hymn,C,missing_chords
At the Cross,hymn,D,missing_chords
Be Still (Be Still For The Presence Of The Lord),hymn,C,missing_chords
Be Still My Soul,hymn,D,missing_chords
Be Still My Soul,hymn,D,missing_chords
Be Still My Soul,hymn,D,missing_chords
Be Thou my Vision,hymn,D,missing_chords
Before The Throne,hymn,C,missing_chords
Blessed Assurance,hymn,D,missing_chords
Blessed Assurance,hymn,D,missing_chords
Blessed Assurance,hymn,D,missing_chords
Blessed Assurance,hymn,C,missing_chords
Blessed Be The God And Father,hymn,G,missing_chords
Day by Day,hymn,D,missing_chords
Day by Day,hymn,C,missing_chords
Down at the Cross,hymn,G,missing_chords
Face to Face with Christ My Savior,hymn,A,missing_chords
Fairest Lord Jesus,hymn,C,missing_chords
Fairest Lord Jesus,hymn,C,missing_chords
God Of the Ages,hymn,Bb,missing_chords
Higher Ground,hymn,A,missing_chords
His Eye is on the Sparrow,hymn,C,missing_chords
His Eye is on the Sparrow,hymn,C,missing_chords
His Eye is on the Sparrow,hymn,C,missing_chords
His Name Is Wonderful,hymn,D,missing_chords
Holy Holy Holy,hymn,D,missing_chords
Holy Holy Holy,hymn,C,missing_chords
"Holy Spirit, Breathe on Me",hymn,D,missing_chords
I Am Resolved,hymn,G,missing_chords
I Am Resolved,hymn,D,missing_chords
I Exalt Thee,hymn,D,missing_chords
I'll Fly Away,hymn,G,missing_chords
I'll Fly Away,hymn,G,missing_chords
In Christ Alone (SJEH Arrangement),hymn,,missing_chords
In the Garden,hymn,G,missing_chords
In the Garden,hymn,A,missing_chords
In Times Like These,hymn,G,missing_chords
It Came Upon The Midnight Clear,hymn,C,missing_chords
It Is Well With My Soul,hymn,D,missing_chords
Jesus Paid It All,hymn,G,missing_chords
Jesus Paid It All,hymn,G,missing_chords
Jesus Saves,hymn,G,missing_chords
Joy to the World,hymn,D,missing_chords
Joy to the World,hymn,Ab,missing_chords
Joy to the World,hymn,C,missing_chords
Joy to the World,hymn,D,missing_chords
Joy to the World,hymn,D,missing_chords
Joyful Joyful We Adore Thee,hymn,G,missing_chords
"Joyful, Joyful We Adore Thee",hymn,E,missing_chords
Just a Closer Walk with Thee,hymn,A,missing_chords
Just As I Am,hymn,D,missing_chords
Just As I Am,hymn,C,missing_chords
Just As I Am,hymn,D,missing_chords
Leaning on the Everlasting Arms,hymn,G,missing_chords
"Lord, I'm coming home",hymn,G,missing_chords
Love Lifted Me,hymn,A,missing_chords
Mansion Over The Hilltop,hymn,G,missing_chords
Morning Has Broken,hymn,C,missing_chords
Morning Has Broken (SJEH Arrangement),hymn,C,missing_chords
My Father Watches Over Me,hymn,A,missing_chords
Nearer My God to Thee,hymn,G,missing_chords
Never Alone,hymn,A,missing_chords
Nothing But the Blood of Jesus,hymn,G,missing_chords
O Come All Ye Faithful,hymn,G,missing_chords
O Come Let Us Adore Him,hymn,D,missing_chords
O Holy Night,hymn,C,missing_chords
O Holy Night,hymn,C,missing_chords
O Holy Night,hymn,C,missing_chords
O Little Town Of Bethlehem,hymn,G,missing_chords
O Little Town Of Bethlehem,hymn,D,missing_chords
O Little Town Of Bethlehem,hymn,F,missing_chords
O Little Town Of Bethlehem,hymn,G,missing_chords
O Worship The King,hymn,G,missing_chords
O Worship The King,hymn,G,missing_chords
Oh God Beyond All Praising,hymn,G,missing_chords
Once in Royal David's City,hymn,G,missing_chords
Once in Royal David's City,hymn,G,missing_chords
One Day (Hymn),hymn,D,missing_chords
Onward Christian Soldiers,hymn,G,missing_chords
Onward Christian Soliders,hymn,D,missing_chords
Praise My Soul The King Of Heaven,hymn,D,missing_chords
Praise My Soul The King Of Heaven,hymn,D,missing_chords
Precious Memories,hymn,C,missing_chords
Redeemed,hymn,G,missing_chords
"Redeemed, How I Love to Proclaim it",hymn,C,missing_chords
Rock of Ages,hymn,A,missing_chords
Saved By Grace,hymn,G,missing_chords
Silent Night (Hymn),hymn,C,missing_chords
Sweet Hour of Prayer,hymn,C,missing_chords
The First Noel,hymn,D,missing_chords
The Home Over There,hymn,G,missing_chords
The Old Rugged Cross,hymn,A,missing_chords
The Old Rugged Cross,hymn,G,missing_chords
"there is joy, joy, joy",hymn,G,missing_chords
There Is Power in the Blood,hymn,G,missing_chords
Tis So Sweet To Trust In Jesus,hymn,G,missing_chords
Walk On The Water With Me,hymn,D,missing_chords
Walk With Me,hymn,Fm,missing_chords
What a Day That Will Be,hymn,C,missing_chords
What a friend we have in Jesus,hymn,D,missing_chords
Why Have You Chosen Me,hymn,C,missing_chords
Have Yourself a Merry Little Christmas,Hugh Martin & Ralph Blane,G,missing_chords
Come To The River,Housefires,G,missing_chords
Give Thanks To God,Housefires,D,missing_chords
Give Thanks To God,Housefires,D,missing_chords
Burn Me Down Ukulele,House of Heroes,G,missing_chords
Serial Sleepers,House of Heroes,Db,missing_chords
Hiding Place,Holley Maher,C,missing_chords
Comfort Song,Hokus Pick,C,missing_chords
Bow Down,HOGNI,G#m,missing_chords
En La Cruz,Himnos en Español,G,missing_chords
430 Heer Ik Prijs Uw Grote Naam,Hillsongs,G,missing_chords
A Pure Heart,Hillsongs,A,missing_chords
All For Love Solo,Hillsongs,G,missing_chords
Did You Know?,Hillsongs,D,missing_chords
For You Alone Deserves All Glory,Hillsongs,G,missing_chords
Hes Got The Whole World In His Hands,Hillsongs,D,missing_chords
I Will Sing,Hillsongs,D,missing_chords
Jesus What A Beautiful Name,Hillsongs,A,missing_chords
Jesus You Are My Best Friend,Hillsongs,D,missing_chords
Jesus You Gave It All,Hillsongs,A,missing_chords
Let The Peace Of God Reign,Hillsongs,F,missing_chords
Micah 6:8,Hillsongs,E,missing_chords
No One Like You,Hillsongs,C,missing_chords
Rainbow,Hillsongs,Em,missing_chords
Sing My Soul,Hillsongs,Em,missing_chords
Theres A Quiet Understanding,Hillsongs,A,missing_chords
This is my desire,Hillsongs,G,missing_chords
When My Heart Is Overwhelmed,Hillsongs,D,missing_chords
Whos The King Of The Jungle,Hillsongs,G,missing_chords
You Are Here The Same Power,Hillsongs,G,missing_chords
You Said,Hillsongs,G,missing_chords
Highs & Lows,Hillsong Young & Free,G,missing_chords
Wake,Hillsong Young & Free,C,missing_chords
He Is Lord,Hillsong Worship,Am,missing_chords
I Will Bless You Lord,Hillsong Worship,G,missing_chords
Одного Прошу,Hillsong Worship,F,missing_chords
Мой Спаситель,Hillsong Worship,C,missing_chords
Aquí Hay Salvación,Hillsong United,C,missing_chords
A Song To Sing,Hillsong United,E,missing_chords
Aún,Hillsong United,C,missing_chords
Abre Mis Ojos Oh Cristo,Hillsong United,D,missing_chords
Aleluya,Hillsong United,A,missing_chords
As The Deer,Hillsong United,C,missing_chords
Awesome God,Hillsong United,D,missing_chords
Brazos Extendidos,Hillsong United,F,missing_chords
Cada Día,Hillsong United,E,missing_chords
Cambiaré Mi Tristeza,Hillsong United,A,missing_chords
Cant Stop Praising,Hillsong United,Em,missing_chords
Canta Al Señor,Hillsong United,A,missing_chords
Canta Su Fama,Hillsong United,C,missing_chords
Cantaré De Tu Amor Por Siempre,Hillsong United,E,missing_chords
Carry Me,Hillsong United,D,missing_chords
Clame Me Oiste,Hillsong United,C,missing_chords
Con Todo,Hillsong United,G,missing_chords
Con Todo Lo Que Soy,Hillsong United,E,missing_chords
Cristo Es Suficiente,Hillsong United,Em,missing_chords
Cristo Vivo Esta,Hillsong United,E,missing_chords
Cuan Grande Amor,Hillsong United,E,missing_chords
Digno Eres Señor,Hillsong United,G,missing_chords
Dile Al Mundo,Hillsong United,Em,missing_chords
Dios Eterno,Hillsong United,A,missing_chords
Eagle Wings,Hillsong United,Am,missing_chords
El Mundo No Nos Tomará,Hillsong United,A,missing_chords
El Que Salva,Hillsong United,G,missing_chords
En Tu Luz,Hillsong United,E,missing_chords
Eres Más,Hillsong United,Em,missing_chords
Eres Nuestra Herencia,Hillsong United,C,missing_chords
Esperanza Del Mundo,Hillsong United,D,missing_chords
Este Es Mi Deseo,Hillsong United,G,missing_chords
God He Reings,Hillsong United,G,missing_chords
Gracia Abunda,Hillsong United,A,missing_chords
Gracia Salvadora,Hillsong United,E,missing_chords
Ha Nacido El Rey,Hillsong United,E,missing_chords
Hallelujah Our God Reigns,Hillsong United,E,missing_chords
Hasta El Fín Del Mundo,Hillsong United,Em,missing_chords
Hasta Que Te Vea,Hillsong United,F,missing_chords
Hear Our Praises,Hillsong United,C,missing_chords
Heaven,Hillsong United,G,missing_chords
History Maker,Hillsong United,Am,missing_chords
Hoy Te Rindo Mi Ser,Hillsong United,G,missing_chords
I Will Exalt You,Hillsong United,E,missing_chords
I Will Love,Hillsong United,G,missing_chords
I Will Sing,Hillsong United,C,missing_chords
Indescriptible,Hillsong United,Dm,missing_chords
Jesús Señor,Hillsong United,B,missing_chords
Jesus Lover Of My Soul,Hillsong United,Bb,missing_chords
Jesus Lover Of My Soul,Hillsong United,F,missing_chords
Jesus Lover Of My Soul,Hillsong United,G,missing_chords
Let Me To The Cross,Hillsong United,E,missing_chords
Llueve,Hillsong United,Bm,missing_chords
Lo Grande Que Eres Dios,Hillsong United,A,missing_chords
Lord I Offer My Life,Hillsong United,E,missing_chords
LORD I OFFER MY LIFE TO YOU,Hillsong United,E,missing_chords
Mais Perto,Hillsong United,C,missing_chords
Majesty,Hillsong United,A,missing_chords
Maravilloso Dios,Hillsong United,G,missing_chords
Mashup,Hillsong United,C,missing_chords
Más Que A Mi Ser,Hillsong United,Em,missing_chords
Más Que Nada,Hillsong United,E,missing_chords
Mi Redentor Vive,Hillsong United,E,missing_chords
Mi Todo Christ Is Enough,Hillsong United,Em,missing_chords
Mira Mi Corazón,Hillsong United,C,missing_chords
Nada Hay Que Esconder,Hillsong United,Ab,missing_chords
Nadie Hay Como Tú,Hillsong United,C,missing_chords
Nothing But The Blood,Hillsong United,C,missing_chords
O Come Let Us Adore Him,Hillsong United,D,missing_chords
One Desire,Hillsong United,E,missing_chords
Oración Del Desierto,Hillsong United,Am,missing_chords
Pertenezco A Tí,Hillsong United,G,missing_chords
Poderoso Para Salvar,Hillsong United,D,missing_chords
Por El Poder De Tu Amor,Hillsong United,G,missing_chords
Por Tí,Hillsong United,B,missing_chords
Porque Eres Dios,Hillsong United,B,missing_chords
Rain Down,Hillsong United,Am,missing_chords
Reinas,Hillsong United,A,missing_chords
Rey De Majestad,Hillsong United,B,missing_chords
"Santo, Santo, Santo",Hillsong United,C,missing_chords
Sólo Cristo,Hillsong United,C,missing_chords
Set A Fire,Hillsong United,G,missing_chords
Show Me Your Way,Hillsong United,G,missing_chords
Sientes Que Los Montes Tiemblan,Hillsong United,D,missing_chords
Soberano,Hillsong United,C,missing_chords
Stay And Wait Acoustic,Hillsong United,Bbm,missing_chords
Tómalo,Hillsong United,B,missing_chords
Tómame Señor,Hillsong United,C#m,missing_chords
Tú,Hillsong United,B,missing_chords
Te Miro A Tí,Hillsong United,Bb,missing_chords
The Freedom We Know,Hillsong United,G,missing_chords
The Stand,Hillsong United,A,missing_chords
This Is The Air I Breathe,Hillsong United,A,missing_chords
To Know Your Name,Hillsong United,Em,missing_chords
Toma Todo De Mí,Hillsong United,G,missing_chords
Tu Eres Mi Respirar,Hillsong United,A,missing_chords
Tu Fama Gritaré,Hillsong United,C,missing_chords
Tu Me Haces Feliz,Hillsong United,D,missing_chords
Turn Your Eyes Upon Jesus,Hillsong United,C,missing_chords
Un Camino,Hillsong United,B,missing_chords
Varón De Dolores,Hillsong United,F,missing_chords
Vives En Mi (Alive In Us),Hillsong United,A,missing_chords
Yahweh,Hillsong United,C,missing_chords
You Alone Are God,Hillsong United,C,missing_chords
You Are Here,Hillsong United,B,missing_chords
A Brooken Spirit,Hillsong Music Australia,E,missing_chords
He Is Greater,Hillsong London,E,missing_chords
You are Here,Hillsong London,G,missing_chords
It Is Well With My Soul,Hillsong Live,G,missing_chords
Made me glad,Hillsong Church,D,missing_chords
Me Asombro Ante Ti,Hillsong Church,A,missing_chords
Awsome God,Hillsong Australia,D,missing_chords
Love You So Much,Hillsong Australia,F#m,missing_chords
My Heart Will Trut,Hillsong Australia,G,missing_chords
A Pure Heart,Hillsong,D,missing_chords
Aleluia,Hillsong,F,missing_chords
Angel Of The Lord,Hillsong,Eb,missing_chords
Be Thou My Vision,Hillsong,C,missing_chords
Be Thou My Vision,Hillsong,Bb,missing_chords
Change My Heart Oh God,Hillsong,C,missing_chords
Digno es el Señor,Hillsong,G,missing_chords
Hes Got The Whole World In His Hand,Hillsong,C,missing_chords
My Heart Your Home,Hillsong,G,missing_chords
Shout To The Lord,Hillsong,G,missing_chords
Still,Hillsong,C,missing_chords
Superhero,Hillsong,E,missing_chords
This is my desire,Hillsong,C,missing_chords
With everything,Hillsong,E,missing_chords
You Are Near,Hillsong,E,missing_chords
More Than Wonderful,Heritage Singers,D,missing_chords
Morning Prayer,Heritage Singers,E,missing_chords
Twilight Of The Gods,Helloween,Em,missing_chords
May God Protect Your Home,Hefner,Bb,missing_chords
Everybody will be happy over there,Hee-Haw Quartet,G,missing_chords
God Of Heaven,Heather Sorenson,G,missing_chords
Exalt You,Heather Clark,C,missing_chords
Fourteen,Hawk Nelson,Em,missing_chords
Its Over,Hawk Nelson,B,missing_chords
Ode To Lord Stanley,Hawk Nelson,G,missing_chords
One Thing I Have Left,Hawk Nelson,Em,missing_chords
Something On My Mind,Hawk Nelson,C,missing_chords
Ragtime,Havalina Rail Co,C,missing_chords
Behold God,"Harvest - Jerry Williams, Ed Kerr",A,missing_chords
Battles,Harry And Alfie,Em,missing_chords
Sweet Loving Word,Hank Locklin,G,missing_chords
A Bed That Breathes With Him,Half-handed Cloud,A,missing_chords
We Worship You,Isreal Houghton,A,missing_chords
Cover Me,Invasion Band,G,missing_chords
A Place At Your Altar,Integritys Hosanna,D,missing_chords
Miracle Cure,Idle Cure,C,missing_chords
"Just a Test, Please Remove.","Just a test, please Remove.",D,missing_chords
Que todos los pueblos te alaben,Juan F. Martinez,Em,missing_chords
Ante ti con gozo,Juan Carlos Alvarado,Gm,missing_chords
Faith Is Not A Feeling,Josh Wilson,E,missing_chords
Satisfied,Jordan Feliz,Am,missing_chords
Thank God I Got Her,Jonny Daiz,C,missing_chords
The Chick Fil A Song,Jonny Daiz,G,missing_chords
The Steadfast Love,Jonathan McReynolds,A,missing_chords
We Need You Lord,Jonathan Butler,A,missing_chords
Make It Right,Jonas brothers,G,missing_chords
All That Remains,Jon Thurlow,G,missing_chords
All That Remains,Jon Thurlow,C,missing_chords
Dependent On You,Jon Thurlow,D,missing_chords
Divine Love,Jon Thurlow,C,missing_chords
Fragrance,Jon Thurlow,Bb,missing_chords
I Love Your Ministry,Jon Thurlow,C,missing_chords
Psalm 33,Jon Thurlow,G,missing_chords
Simple Conversation,Jon Thurlow,Cm,missing_chords
Stand In Awe,Jon Thurlow,G,missing_chords
Strong Love,Jon Thurlow,C,missing_chords
Things Are Not Ok,Jon Thurlow,D,missing_chords
Things Are Not Okay (Mourning for the Bridegroom),Jon Thurlow,D,missing_chords
I Just keep trusting my lord,John W. Peterson,G,missing_chords
Sanctuary,John W Thompson,E,missing_chords
Amazing Grace,John Newton,D,missing_chords
Amazing Grace,John Newton,D,missing_chords
Amazing Grace,John Newton,D,missing_chords
Amazing Grace,John Newton,D,missing_chords
Amazing Grace,John Newton,C,missing_chords
Between The Cracks,John Mark McMillan,Em,missing_chords
